Date,URL,Title,Source,Country,LABEL,Generated Label,Generated Label (Number)
20240815T010000Z,https://borneobulletin.com.bn/explosions-reported-near-two-ships-off-yemen-security-agencies/,Explosions reported near two ships off Yemen : Security agencies,borneobulletin.com.bn,Brunei,2,3,3.0
20240903T104500Z,https://www.arkansasonline.com/news/2024/sep/03/houthi-rebels-hit-oil-tanker-in-red-sea/,Houthi rebels hit oil tanker in Red Sea | The Arkansas Democrat - Gazette,arkansasonline.com,United States,3,2,2.0
20240923T171500Z,https://gcaptain.com/category/marine-environment-news/,Environment Archives,gcaptain.com,United States,13,8,8.0
20240709T063000Z,https://www.marketscreener.com/quote/stock/NIPPON-YUSEN-KABUSHIKI-KA-6491189/news/Nippon-Yusen-Kabushiki-Kaisha-MPA-and-NYK-Forge-Partnership-to-Advance-Maritime-Sustainability-Di-47339975/,"Nippon Yusen Kabushiki Kaisha : MPA and NYK Forge Partnership to Advance Maritime Sustainability , Digitalisation and Manpower Development",marketscreener.com,,11,8,8.0
20240814T144500Z,https://manilastandard.net/news/314484147/blasts-reported-near-2-ships-off-yemen.html,Blasts reported near 2 ships off Yemen - Manila Standard,manilastandard.net,Philippines,2,3,3.0
20240913T210000Z,https://gcaptain.com/oil-tanker-breakaway-and-grounding-exposes-critical-gaps-in-emergency-management/,Oil Tanker Breakaway and Grounding Exposes Critical Gaps in Emergency Management,gcaptain.com,United States,11,8,8.0
20240705T071500Z,https://allafrica.com/stories/202407050113.html,"Nigeria : To Enhance Operation , NPA Acquires Tugboats for Dangote Refinery , Lekki Port",allafrica.com,Nigeria,11,12,12.0
20240903T223000Z,https://borneobulletin.com.bn/two-ships-hit-off-rebel-held-yemeni-region/,Two ships hit off rebel - held Yemeni region | Borneo Bulletin Online,borneobulletin.com.bn,Brunei,3,2,2.0
20240902T100000Z,https://www.devdiscourse.com/article/law-order/3071575-maritime-tensions-oil-tanker-struck-no-casualties-reported,"Maritime Tensions : Oil Tanker Struck , No Casualties Reported",devdiscourse.com,China,3,2,2.0
20240925T211500Z,https://www.jdsupra.com/legalnews/ofac-issues-warning-to-financial-6296360/,"OFAC Issues Warning to Financial â€ŽInstitutions & Insurers That â€ŽProvide Maritime Services in the â€ŽMediterranean , Red Sea and Middle East | Locke Lord LLP",jdsupra.com,United States,11,12,12.0
20240813T163000Z,https://en.portnews.ru/news/366541/,"Two ships report blasts in the Red Sea off Yemen , British maritime agencies say",en.portnews.ru,,3,2,2.0
20240822T233000Z,https://www.washingtoninstitute.org/policy-analysis/even-after-houthi-attacks-russia-linked-tankers-return-red-sea,"Even After Houthi Attacks , Russia - Linked Tankers Return to Red Sea",washingtoninstitute.org,Iran,3,12,12.0
20240903T031500Z,https://manilastandard.net/news/314492328/two-ships-hit-off-rebel-held-yemeni-region-maritime-agencies.html,Two ships hit off rebel - held Yemeni region maritime agencies,manilastandard.net,Philippines,3,2,2.0
20240831T104500Z,https://www.gdnonline.com:443/Details/1331485,World News : Salvage of stricken oil tanker  expected soon  ,gdnonline.com,United States,6,2,2.0
20240807T004500Z,http://www.maritimeprofessional.com/news/michigan-awards-million-maritime-infrastructure-395675,Michigan Awards $5 Million for Maritime Infrastructure Projects,maritimeprofessional.com,United States,12,4,4.0
20240828T204500Z,https://www.marinelink.com/news/second-nsmv-patriot-state-completes-sea-516462,Second NSMV Patriot State Completes Sea Trials,marinelink.com,United States,12,8,8.0
20240705T073000Z,https://thenationonlineng.net/investment-in-ports-will-reposition-maritime-sector/,  Investment in ports will reposition maritime sector  - The Nation Newspaper,thenationonlineng.net,Nigeria,11,4,4.0
20240913T230000Z,https://www.bankinfosecurity.com/chinese-crane-giant-poses-cybersecurity-threat-to-us-ports-a-26285,Chinese Crane Giant Poses Cybersecurity Threat to US Ports,bankinfosecurity.com,United States,11,12,12.0
20240710T121500Z,https://en.portnews.ru/news/365234/,South African Maritime Safety Authority try to rescue a cargo ship that ran aground on Cape west coast,en.portnews.ru,,6,2,2.0
